WHEAT,ORE,WOOD,BRICK,SHEEP,TOTAL,POINTS PER TURN
13,0,7,0,2,22,0.038461538461538464
3,3,9,8,0,23,0.0641025641025641
0,0,12,4,5,21,0.06
12,0,6,0,3,21,0.05
0,5,0,5,11,21,0.02
5,5,2,2,8,22,0.1
4,0,5,3,10,22,0.06504065040650407
0,3,0,8,10,21,0.04065040650406504
2,6,10,3,0,21,0.08130081300813008
7,0,4,5,6,22,0.07317073170731707
11,0,7,0,2,20,0.05714285714285714
4,4,3,4,5,20,0.15714285714285714
0,7,5,3,5,20,0.02857142857142857
4,4,5,3,5,21,0.11428571428571428
10,0,1,10,0,21,0.02040816326530612
7,7,0,3,4,21,0.10204081632653061
3,4,5,8,2,22,0.08163265306122448
0,2,3,10,7,22,0.05102040816326531
0,3,13,0,5,21,0.07142857142857142
5,0,0,5,11,21,0.05357142857142857
0,0,9,8,5,22,0.044642857142857144
1,14,4,2,0,21,0.09821428571428571
0,9,5,4,3,21,0.05405405405405406
0,7,7,4,3,21,0.13513513513513514
3,2,13,0,3,21,0.05405405405405406
12,0,4,0,5,21,0.05405405405405406
10,0,0,5,7,22,0.06944444444444445
4,5,5,7,0,21,0.09722222222222222
2,5,0,0,15,22,0.09722222222222222
4,3,5,5,4,21,0.1388888888888889
4,3,0,0,13,20,0.05747126436781609
0,4,1,2,13,20,0.034482758620689655
8,3,3,2,5,21,0.11494252873563218
7,0,7,2,5,21,0.06896551724137931
3,3,0,10,5,21,0.04854368932038835
12,3,0,0,5,20,0.08737864077669903
3,5,9,4,0,21,0.0970873786407767
8,2,9,0,2,21,0.05825242718446602
3,5,5,1,6,20,0.05
3,9,8,0,1,21,0.0875
0,5,7,4,4,20,0.1
7,3,3,3,5,21,0.125
3,0,10,9,0,22,0.11235955056179775
2,5,0,5,10,22,0.07865168539325842
2,8,3,4,4,21,0.0898876404494382
7,8,0,8,0,23,0.0898876404494382
0,5,13,0,4,22,0.05434782608695652
10,5,5,0,0,20,0.08695652173913043
2,8,5,0,6,21,0.043478260869565216
3,3,5,12,0,23,0.10869565217391304
7,6,4,5,0,22,0.11764705882352941
4,7,4,0,6,21,0.058823529411764705
3,0,0,12,6,21,0.029411764705882353
4,5,11,2,0,22,0.14705882352941177
4,8,0,0,8,20,0.072992700729927
13,0,3,5,0,21,0.051094890510948905
11,2,0,0,8,21,0.043795620437956206
8,2,8,0,5,23,0.06569343065693431
8,1,3,4,5,21,0.12987012987012986
2,0,8,0,11,21,0.05194805194805195
3,4,9,4,0,20,0.09090909090909091
2,0,3,4,12,21,0.03896103896103896
9,3,9,0,0,21,0.09174311926605505
4,7,0,5,5,21,0.07339449541284404
2,6,0,9,5,22,0.03669724770642202
0,0,8,9,5,22,0.07339449541284404
0,5,6,0,10,21,0.025
3,8,4,0,5,20,0.1
3,0,0,16,3,22,0.0875
7,3,4,4,5,23,0.125
4,0,8,5,5,22,0.08490566037735849
6,0,8,0,7,21,0.10377358490566038
2,3,4,5,7,21,0.04716981132075472
0,6,10,4,2,22,0.05660377358490566
4,4,7,6,0,21,0.10309278350515463
1,8,4,5,3,21,0.07216494845360824
0,13,0,6,2,21,0.041237113402061855
8,0,5,5,5,23,0.07216494845360824
3,4,13,0,0,20,0.06756756756756757
3,0,2,13,3,21,0.13513513513513514
1,7,0,9,4,21,0.05405405405405406
5,3,2,5,8,23,0.06756756756756757
4,5,0,0,11,20,0.09900990099009901
4,8,0,9,0,21,0.07920792079207921
0,8,4,3,7,22,0.0594059405940594
3,5,3,6,5,22,0.0594059405940594
13,0,0,3,4,20,0.04819277108433735
0,6,6,0,9,21,0.07228915662650602
5,0,4,4,8,21,0.12048192771084337
0,1,12,0,8,21,0.060240963855421686
4,4,0,9,5,22,0.109375
5,11,3,0,2,21,0.046875
4,5,2,5,5,21,0.03125
14,6,0,0,2,22,0.15625
0,5,6,7,3,21,0.05263157894736842
5,8,2,3,3,21,0.06578947368421052
1,12,4,0,4,21,0.06578947368421052
6,5,4,3,4,22,0.13157894736842105
3,5,0,0,12,20,0.09333333333333334
0,5,0,3,12,20,0.04
3,5,4,8,0,20,0.14666666666666667
